timestamp,millis, 76f96f013c, d39896f013c,819096f013c, 61ac96f013c, c71996f013c, 145496f013c, 50c596f013c, b84c96f013c
2023-03-02T15:45:10Z,2721,24.88,24.69,25.25,24.88,24.81,25.13,24.56,24.44
2023-03-02T15:45:12Z,3869,24.81,24.69,25.25,24.94,24.81,25.13,24.56,24.44
2023-03-02T15:45:13Z,5013,24.88,24.75,25.25,24.94,24.81,25.19,24.56,24.44
2023-03-02T15:45:14Z,6157,24.88,24.75,25.25,24.94,24.81,25.13,24.56,24.38
2023-03-02T15:45:15Z,7300,24.81,24.75,25.25,24.94,24.81,25.19,24.56,24.44
2023-03-02T15:45:16Z,8443,24.88,24.69,25.25,24.94,24.81,25.19,24.63,24.38
2023-03-02T15:45:17Z,9590,24.88,24.75,25.25,24.94,24.88,25.19,24.56,24.38
2023-03-02T15:45:18Z,10739,24.81,24.75,25.25,24.94,24.88,25.19,24.63,24.38
2023-03-02T15:45:20Z,11882,24.88,24.75,25.25,24.94,24.81,25.19,24.63,24.38
2023-03-02T15:45:21Z,13026,24.81,24.75,25.19,24.94,24.88,25.19,24.56,24.38
2023-03-02T15:45:22Z,14170,24.88,24.75,25.25,24.94,24.88,25.19,24.63,24.44
2023-03-02T15:45:23Z,15313,24.88,24.75,25.25,24.94,24.81,25.19,24.63,24.38
2023-03-02T15:45:24Z,16457,24.88,24.75,25.25,25,24.88,25.25,24.63,24.44
2023-03-02T15:45:25Z,17601,24.94,24.75,25,25,24.88,25.19,24.63,25
2023-03-02T15:45:26Z,18744,25,24.75,25.25,24.94,24.88,25.25,24.63,24.38
2023-03-02T15:45:34Z,19888,24.94,24.75,25.25,25,24.88,25.31,24.63,24.38
2023-03-02T15:45:35Z,21031,25,24.75,25.25,24.94,24.88,25.25,24.69,24.38
2023-03-02T15:45:36Z,22178,25,24.81,25.25,24.94,24.88,25.19,24.63,24.38
2023-03-02T15:45:37Z,23321,25,24.81,25.25,25,24.88,25.31,24.69,24.38
2023-03-02T15:45:38Z,24465,25,24.81,25.25,25,24.88,25.31,24.69,24.31
2023-03-02T15:45:39Z,25609,25.06,24.75,25.25,25,24.88,25.25,24.69,24.38
2023-03-02T15:45:40Z,26753,25,24.81,25.25,25,24.94,25.25,24.69,24.38
2023-03-02T15:45:42Z,27895,25.06,24.81,25.25,25.06,24.88,25.31,24.69,24.38
2023-03-02T15:45:43Z,29039,25.06,24.81,25.25,25,24.88,25.31,24.69,24.38
2023-03-02T15:45:44Z,30183,25,24.81,25.25,25,24.94,25.25,24.69,24.38
2023-03-02T15:45:45Z,31327,25,24.81,25.25,25,24.94,25.25,24.69,24.38
2023-03-02T15:45:46Z,32470,25.06,24.88,25.25,25.06,24.94,25.31,24.69,24.38
2023-03-02T15:45:47Z,33613,25,24.81,25.25,25,24.94,25.25,24.69,24.38
2023-03-02T15:45:48Z,34760,25,24.88,25.25,25,24.94,25.31,24.69,24.44
2023-03-02T15:45:50Z,35903,25,24.88,25.25,25.06,25,25.31,24.69,24.44
2023-03-02T15:45:51Z,37047,25.06,24.88,25.31,25.06,25,25.25,24.69,24.44
2023-03-02T15:45:52Z,38191,25.06,24.88,25.31,25.06,25,25.25,24.69,24.5
2023-03-02T15:45:53Z,39333,25.06,24.88,25.31,25.06,24.94,25.25,24.69,24.5
2023-03-02T15:45:54Z,40477,25.06,24.88,25.31,25.13,25,25.25,24.69,24.44
2023-03-02T15:45:55Z,41621,25.06,24.88,25.31,25.06,25,25.25,24.69,24.5
2023-03-02T15:45:56Z,42770,25,24.88,25.31,25.06,25,25.25,24.69,24.5
2023-03-02T15:45:58Z,43913,25.06,24.88,25.31,25.06,25,25.25,24.69,24.5
2023-03-02T15:45:59Z,45057,25.06,24.88,25.31,25.06,25,25.25,24.69,24.5
2023-03-02T15:46:00Z,46203,25,24.88,25.31,25.06,25,25.25,24.69,24.56
2023-03-02T15:46:01Z,47347,25.06,24.88,25.31,25.06,25,25.25,24.69,24.56
2023-03-02T15:46:02Z,48490,25.06,24.88,25.38,25.13,25,25.31,24.69,24.56
2023-03-02T15:46:03Z,49634,25.06,24.88,25.38,25.13,25,25.31,24.69,24.5
2023-03-02T15:46:04Z,50778,25,24.88,25.31,25.06,25,25.25,24.69,24.5
2023-03-02T15:46:06Z,51920,25.06,24.88,25.31,25.06,25,25.25,24.69,24.5
2023-03-02T15:46:07Z,53064,25.06,24.88,25.38,25.13,24.94,25.25,24.69,24.56
2023-03-02T15:46:08Z,54208,25.06,24.88,25.38,25.06,25,25.25,24.69,24.56
2023-03-02T15:46:09Z,55351,25.06,24.88,25.38,25.06,25,25.25,24.69,24.56
2023-03-02T15:46:10Z,56495,25.06,24.88,25.38,25.06,24.94,25.19,24.69,24.56
2023-03-02T15:46:11Z,57637,25.06,24.88,25.38,25.13,25,25.19,24.69,24.56
2023-03-02T15:46:13Z,58784,25.06,24.88,25.38,25.13,25,25.25,24.69,24.56
2023-03-02T15:46:14Z,59927,25.06,24.88,25.38,25.13,24.94,25.25,24.69,24.56
2023-03-02T15:46:15Z,61070,25.06,24.88,25.38,25.13,24.94,25.25,24.75,24.63
2023-03-02T15:46:16Z,62213,25.13,24.88,25.38,25.06,24.94,25.19,24.69,24.56
2023-03-02T15:46:17Z,63355,25.13,24.94,25.38,25.06,24.94,25.19,24.69,24.56
2023-03-02T15:46:18Z,64498,25.06,24.94,25.38,25.13,24.94,25.19,24.69,24.63
2023-03-02T15:46:19Z,65641,25.13,24.94,25.44,25.13,25,25.19,24.69,24.63
2023-03-02T15:46:21Z,66784,25.13,24.88,25.44,25.13,25,25.19,24.69,24.63
2023-03-02T15:46:22Z,67927,25.06,24.88,25.44,25.13,25,25.19,24.69,24.63
2023-03-02T15:46:23Z,69070,25.13,24.88,25.44,25.13,25,25.25,24.69,24.63
2023-03-02T15:46:24Z,405,25,24.94,25.44,25.13,25,25.19,24.75,24.63
2023-03-02T15:46:25Z,1583,25.31,24.94,25.44,25.13,25,25.25,24.75,24.63
2023-03-02T15:46:26Z,2746,25.31,24.94,25.44,25.13,25,25.25,24.69,24.63
2023-03-02T15:46:27Z,3896,25.31,24.94,25.44,25.13,25,25.19,24.75,24.63
2023-03-02T15:46:29Z,5049,25.38,24.94,25.44,25.13,25,25.19,24.75,24.63
2023-03-02T15:46:30Z,6198,25.31,24.94,25.5,25.13,25,25.25,24.69,24.69
2023-03-02T15:46:31Z,7347,25.38,24.88,25.44,25.13,25,25.19,24.75,24.69
2023-03-02T15:46:32Z,8495,25.31,24.94,25.44,25.13,25,25.19,24.75,24.69
2023-03-02T15:46:33Z,9644,25.31,24.94,25.5,25.13,25,25.25,24.75,24.69
2023-03-02T15:46:34Z,10791,25.38,24.94,25.5,25.13,25,25.19,24.75,24.63
2023-03-02T15:46:35Z,11940,25.38,24.94,25.5,25.19,25,25.19,24.75,24.69
2023-03-02T15:46:37Z,13092,25.38,24.94,25.5,25.13,25,25.19,24.75,24.69
2023-03-02T15:46:38Z,14241,25.38,24.94,25.5,25.13,25,25.19,24.75,24.69
2023-03-02T15:46:39Z,15390,25.38,24.94,,25.13,25,25.19,24.75,24.69
2023-03-02T15:46:40Z,16539,25.38,24.94,25,25.13,25,25.19,24.75,25
2023-03-02T15:46:41Z,17688,25.38,24.94,25.81,25.19,25,25.25,24.75,24.88
2023-03-02T15:46:42Z,18837,25.38,24.94,25.81,25.13,25,25.25,24.75,24.94
2023-03-02T15:47:56Z,19987,25.38,24.94,25.81,25.19,25,25.19,24.75,24.94
2023-03-02T15:47:57Z,21136,25.38,24.94,25.81,25.13,25,25.19,24.75,24.94
2023-03-02T15:47:58Z,22285,25.38,24.94,25.81,25.19,25,25.13,24.75,24.94
2023-03-02T15:47:59Z,23434,25.44,24.94,25.81,25.13,25,25.19,24.75,25
2023-03-02T15:48:00Z,24583,25.38,24.94,25.88,25.19,25,25.19,24.75,25
2023-03-02T15:48:01Z,25735,25.38,24.88,25.88,25.13,25,25.19,24.75,25
2023-03-02T15:48:03Z,26884,25.38,24.94,25.81,25.13,25,25.19,24.81,25
2023-03-02T15:48:04Z,28033,25.38,24.88,25.88,25.13,25,25.19,24.75,25
2023-03-02T15:48:05Z,29181,25.38,24.94,25.88,25.13,25,25.19,24.75,25
2023-03-02T15:48:06Z,30330,25.38,24.94,25.88,25.13,25,25.19,24.75,25
2023-03-02T15:48:07Z,31479,25.38,24.88,25.88,25.13,25,25.19,24.75,25
2023-03-02T15:48:08Z,32628,25.38,24.88,25.81,25.13,25,25.13,24.69,25.06
